record_id,field,value,status,source_url,corroborating_url,checked_on,note
18,geonames_id,2766824,verified,https://sws.geonames.org/2766824/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
19,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
19,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
19,geonames_id,2776586,verified,https://sws.geonames.org/2776586/about.rdf,https://www.wikidata.org/wiki/Q21871624,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
20,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
20,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
20,geonames_id,2774326,verified,https://sws.geonames.org/2774326/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
21,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
21,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
21,geonames_id,,unresolved,,,2026-09-20,9 same-name place candidates; no unique location crosswalk.
22,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
22,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
22,geonames_id,2800866,verified,https://sws.geonames.org/2800866/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
23,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
23,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
23,geonames_id,2792413,verified,https://sws.geonames.org/2792413/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
24,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
24,wikidata_qid,Q611001,verified,https://www.wikidata.org/wiki/Q611001,http://lib.ugent.be/en,2026-09-20,Exact institution item; country and city agree; official website matches.
24,geonames_id,2797656,verified,https://sws.geonames.org/2797656/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
25,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
25,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
25,geonames_id,2792482,verified,https://sws.geonames.org/2792482/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
26,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
26,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
26,geonames_id,2803138,verified,https://sws.geonames.org/2803138/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
27,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
27,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
27,geonames_id,2796491,verified,https://sws.geonames.org/2796491/about.rdf,https://www.wikidata.org/wiki/Q21767697,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
28,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
28,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
28,geonames_id,2792482,verified,https://sws.geonames.org/2792482/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
29,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
29,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
29,geonames_id,2797656,verified,https://sws.geonames.org/2797656/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
30,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
30,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
30,geonames_id,2803138,verified,https://sws.geonames.org/2803138/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
31,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
31,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
31,geonames_id,2803138,verified,https://sws.geonames.org/2803138/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
32,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
32,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
32,geonames_id,2800931,verified,https://sws.geonames.org/2800931/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
35,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
35,wikidata_qid,Q631641,verified,https://www.wikidata.org/wiki/Q631641,http://www.nationallibrary.bg/,2026-09-20,Exact institution item; country and city agree; official website matches.
35,geonames_id,727011,verified,https://sws.geonames.org/727011/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
37,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
37,wikidata_qid,Q7789602,verified,https://www.wikidata.org/wiki/Q7789602,https://fisher.library.utoronto.ca/,2026-09-20,Exact institution item; country and city agree; official website matches.
37,geonames_id,6167865,verified,https://sws.geonames.org/6167865/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
38,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
38,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
38,geonames_id,6167865,verified,https://sws.geonames.org/6167865/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
39,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
39,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
39,geonames_id,6174041,verified,https://sws.geonames.org/6174041/about.rdf,https://www.wikidata.org/wiki/Q2132,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
40,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
40,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
40,geonames_id,6324733,verified,https://sws.geonames.org/6324733/about.rdf,https://www.wikidata.org/wiki/Q2082,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
41,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
41,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
41,geonames_id,3186886,verified,https://sws.geonames.org/3186886/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
42,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
42,wikidata_qid,Q12342237,verified,https://www.wikidata.org/wiki/Q12342237,https://www.vkol.cz,2026-09-20,Exact institution item; country and city agree; official website matches.
42,geonames_id,3069011,verified,https://sws.geonames.org/3069011/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
43,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
43,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
43,geonames_id,3067696,verified,https://sws.geonames.org/3067696/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
44,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
44,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
44,geonames_id,3067696,verified,https://sws.geonames.org/3067696/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
45,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
45,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
45,geonames_id,3067696,verified,https://sws.geonames.org/3067696/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
46,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
46,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
46,geonames_id,3078610,verified,https://sws.geonames.org/3078610/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
47,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
47,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
47,geonames_id,2618425,verified,https://sws.geonames.org/2618425/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
48,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
48,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
48,geonames_id,2618425,verified,https://sws.geonames.org/2618425/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
49,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
49,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
49,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
50,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
50,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
50,geonames_id,2640729,verified,https://sws.geonames.org/2640729/about.rdf,https://www.wikidata.org/wiki/Q34217,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
51,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
51,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
51,geonames_id,2640729,verified,https://sws.geonames.org/2640729/about.rdf,https://www.wikidata.org/wiki/Q34217,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
52,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
52,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
52,geonames_id,2643123,verified,https://sws.geonames.org/2643123/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
53,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
53,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
53,geonames_id,2653941,verified,https://sws.geonames.org/2653941/about.rdf,https://www.wikidata.org/wiki/Q350,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
54,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
54,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
54,geonames_id,2653941,verified,https://sws.geonames.org/2653941/about.rdf,https://www.wikidata.org/wiki/Q350,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
55,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
55,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
55,geonames_id,2644531,verified,https://sws.geonames.org/2644531/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
56,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
56,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
56,geonames_id,2653941,verified,https://sws.geonames.org/2653941/about.rdf,https://www.wikidata.org/wiki/Q350,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
57,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
57,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
57,geonames_id,2653941,verified,https://sws.geonames.org/2653941/about.rdf,https://www.wikidata.org/wiki/Q350,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
59,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
59,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
59,geonames_id,2640729,verified,https://sws.geonames.org/2640729/about.rdf,https://www.wikidata.org/wiki/Q34217,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
60,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
60,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
60,geonames_id,2644688,verified,https://sws.geonames.org/2644688/about.rdf,https://www.wikidata.org/wiki/Q39121,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
61,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
61,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
61,geonames_id,2640729,verified,https://sws.geonames.org/2640729/about.rdf,https://www.wikidata.org/wiki/Q34217,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
62,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
62,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
62,geonames_id,2640729,verified,https://sws.geonames.org/2640729/about.rdf,https://www.wikidata.org/wiki/Q34217,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
63,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
63,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
63,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
64,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
64,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
64,geonames_id,2653941,verified,https://sws.geonames.org/2653941/about.rdf,https://www.wikidata.org/wiki/Q350,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
65,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
65,wikidata_qid,Q734266,verified,https://www.wikidata.org/wiki/Q734266,http://courtauld.ac.uk/study/resources/book-library/collections-services/special-collections,2026-09-20,Exact institution item; country and city agree; official website matches.
65,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
66,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
66,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
66,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
67,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
67,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
67,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
68,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
68,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
68,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
69,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
69,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
69,geonames_id,2650628,verified,https://sws.geonames.org/2650628/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
70,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
70,wikidata_qid,Q2901355,verified,https://www.wikidata.org/wiki/Q2901355,https://library.chethams.com/,2026-09-20,Exact institution item; country and city agree; official website matches.
70,geonames_id,2643123,verified,https://sws.geonames.org/2643123/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
71,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
71,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
71,geonames_id,2643743,verified,https://sws.geonames.org/2643743/about.rdf,,2026-09-20,Same-city institution location crosswalk confirms the GeoNames ID.
72,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
72,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
72,geonames_id,588409,verified,https://sws.geonames.org/588409/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
73,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
73,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
73,geonames_id,588335,verified,https://sws.geonames.org/588335/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
74,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
74,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
74,geonames_id,588409,verified,https://sws.geonames.org/588409/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
75,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
75,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
75,geonames_id,658225,verified,https://sws.geonames.org/658225/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
76,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
76,wikidata_qid,Q4086346,verified,https://www.wikidata.org/wiki/Q4086346,https://www.abo.fi/biblioteket/,2026-09-20,Exact institution item; country and city agree; official website matches.
76,geonames_id,633679,verified,https://sws.geonames.org/633679/about.rdf,https://www.wikidata.org/wiki/Q38511,2026-09-20,Exact city item and coordinates confirm the GeoNames populated place.
77,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
77,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
77,geonames_id,658225,verified,https://sws.geonames.org/658225/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
78,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
78,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
78,geonames_id,3021000,verified,https://sws.geonames.org/3021000/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
79,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
79,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
79,geonames_id,2984114,verified,https://sws.geonames.org/2984114/about.rdf,https://www.wikidata.org/wiki/Q41876,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
80,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
80,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
80,geonames_id,3037656,verified,https://sws.geonames.org/3037656/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
81,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
81,wikidata_qid,,unresolved,,,2026-09-20,No matching official website or verified ISIL corroborated the candidate.
81,geonames_id,2996944,verified,https://sws.geonames.org/2996944/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
82,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
82,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
82,geonames_id,2996944,verified,https://sws.geonames.org/2996944/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
83,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
83,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
83,geonames_id,2972315,verified,https://sws.geonames.org/2972315/about.rdf,https://www.wikidata.org/wiki/Q7880,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
84,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
84,wikidata_qid,,unresolved,,,2026-09-20,No unique exact-name Wikidata item found in this search pass.
84,geonames_id,2988507,verified,https://sws.geonames.org/2988507/about.rdf,https://www.wikidata.org/wiki/Q90,2026-09-20,Matching Wikidata city and country item confirms the GeoNames ID.
85,isil,,unresolved,,,2026-09-20,No exact issuing-registry match was confirmed for this institution or unit.
85,wikidata_qid,,unresolved,,,2026-09-20,Candidate location did not confirm the listed city and country.
85,geonames_id,2971041,verified,https://sws.geonames.org/2971041/about.rdf,,2026-09-20,Unique populated-place match in country extract and exact-ID GeoNames RDF record.
